scorer,full_name,similarity,token_compare
Sebastian Mila,Sebastian De Maio,0.774193548,FALSE
Shimon Gershon,Simon Terodde,0.666666667,FALSE
Julian de Guzman,Jonathan  de Guzmán,0.685714286,FALSE
Roberto Rivellino,Renato Civelli,0.709677419,FALSE
Paulo Madeira,Pablo Maffeo Becerra,0.606060606,FALSE
Cédric Soares,Cédric Ricardo Alves Soares,0.65,TRUE
Kyriakos Papadopoulos,Kyriakos Papadopoulos,1,TRUE
Alexander Satariano,Alexander Szymanowski,0.7,FALSE
Juraj Kucka,Juraj Kucka,1,TRUE
Phil Jagielka,Phil Jagielka,1,TRUE
Marc Bernaus,Marco Benassi,0.8,FALSE
Jonatan Johansson,Pontus Jansson,0.709677419,FALSE
Geraldo José da Silva,Bernardo José Espinosa Zúñiga,0.6,FALSE
José Pedro Fuenzalida,José Pedro Malheiro de Sá,0.652173913,TRUE
Mats Hummels,Matz Sels,0.666666667,FALSE
Aziz Behich,Yuri Berchiche Izeta,0.516129032,FALSE
Rafael Santana,Rafael Santos Borré,0.666666667,FALSE
Juli Fernandez,João Paulo Dias Fernandes,0.666666667,FALSE
Christian Panucci,Cristiano Piccini,0.764705882,FALSE
Benjamin Totori,Benjamin André,0.689655172,FALSE
Ricard Fernández,Antonio Barragán Fernández,0.619047619,FALSE
Mbwana Samatta,Mbwana Ally Samatta,0.848484848,TRUE
Yatma Diop,Issa Diop,0.631578947,FALSE
Matthew Booth,Matthew Lowton,0.740740741,FALSE
Carlos Hernández,Theo Bernard François Hernández,0.595744681,FALSE
Juan Carreño López,Juan Pedro Ramírez López,0.666666667,TRUE
Kennedy Mweene,Kenny Tete,0.666666667,FALSE
Blerim Džemaili,Blerim Džemaili,1,TRUE
Andrés Andrade,André Filipe Brás André,0.594594595,FALSE
Mike Havenaar,Mikel Balenziaga Oruesagasti,0.536585366,FALSE
Valon Behrami,Valon Behrami,1,TRUE
Diego Antonio Reyes,Diego Antonio Reyes Rosales,0.826086957,TRUE
Francisco Calvo,Caiuby Francisco da Silva,0.65,FALSE
Seydou Doumbia,Seydou Doumbia,1,TRUE
João Félix,João Félix Sequeira,0.689655172,TRUE
Claudio Suárez,Mario Suárez Mata,0.64516129,FALSE
Jonas Svensson,Jonas Lössl,0.64,FALSE
Gonzalo Castañeda,Gonzalo Castro Randon,0.736842105,FALSE
David Phillips,Matt Phillips,0.740740741,FALSE
Gabriel Achilier,Gabriel Boschilia,0.787878788,FALSE
No Match,??,0,FALSE
Nicolás Otamendi,Nicolás Blandi,0.8,FALSE
Hossein Kalani,Lovre Kalinic,0.592592593,FALSE
Pedro Fernández,Federico Fernández,0.848484848,FALSE
Jackson Martínez,Jackson Martínez,1,TRUE
Gonzalo de los Santos,Emerson Palmieri dos Santos,0.625,FALSE
No Match,Rômulo  Souza Orestes Caldeira,0.482758621,FALSE
Christian Benteke,Christian Benteke Liolo,0.85,TRUE
Milot Rashica,Milot Rashica,1,TRUE
Leighton Baines,Leighton Baines,1,TRUE
Mark Bowen,Mark Noble,0.7,FALSE
Filip Ivanovski,Filip Benkovic,0.689655172,FALSE
Cristian Riveros,Cristian Miguel Riveros Núñez,0.711111111,TRUE
M'Baye Niang,M'Baye Babacar Niang,0.75,TRUE
David Watson,Davide Santon,0.8,FALSE
Ivan Obradović,Ivan Ordets,0.64,FALSE
Francisco Valdés,Francisco Geraldes,0.823529412,FALSE
Robert Snodgrass,Robert Snodgrass,1,TRUE
Aluísio Francisco da Luz,Vitor Hugo Franchescoli de Souza,0.571428571,FALSE
Mario Pašalić,Mario Pašalic,0.923076923,FALSE
Fabio Francini,Fabio Borini,0.769230769,FALSE
Nikola Vukčević,Nikola Vukcevic,0.866666667,FALSE
Atiba Hutchinson,Atiba Hutchinson,1,TRUE
Maximilian Göppel,Maximiliano Nicol Moralez,0.571428571,FALSE
Charlie Fleming,Charlie Austin,0.689655172,FALSE
Robert Lewandowski,Robert Kenedy Nunes do Nascimento,0.509803922,FALSE
No Match,Eltildo Lucas Correia Pitta,0.5,FALSE
João Carlos dos Santos,João Pedro Geraldino dos Santos Galvão,0.633333333,TRUE
Alessandro Diamanti,Alessandro Diamanti,1,TRUE
Guillermo Torres,Guilherme dos Santos Torres,0.697674419,FALSE
Jérémy Ménez,Jérémy Morel,0.75,FALSE
Fernando Llorente,Fernando Javier Llorente Torres,0.708333333,TRUE
Gökhan Gönül,Gökhan Gönül,1,TRUE
Alberto Valencia,Alberto Paloschi,0.75,FALSE
Heleno de Freitas,Julio Leonardo Dourado de Freitas,0.56,TRUE
Pablo Herrera Barrantes,Markel Bergara Larrañaga,0.510638298,FALSE
Lee Dong-gyeong,Lee Nguyen,0.64,FALSE
Anthony Rougier,Anthony Knockaert,0.6875,FALSE
Igor Korneev,Iñigo Córdoba Kerejeta,0.529411765,FALSE
Leonel Vielma,Joël Veltman,0.64,FALSE
Nicola Nanni,Nicola Sansone,0.769230769,FALSE
Arda Turan,Arda Turan,1,TRUE
Haris Seferovic,Haris Seferovic,1,TRUE
Rafael Arlex Castillo,Rafael Jorgino Cachoira Rebelo,0.549019608,FALSE
Amadou Haidara,Amadou Haidara,1,TRUE
Francisco Calvo,Francesco Caputo,0.774193548,FALSE
Manuel Locatelli,Manuel Locatelli,1,TRUE
Jordan Ayew,Jordan Ayew,1,TRUE
Jin Jingdao,Tin Jedvaj,0.571428571,FALSE
Sofiane Hanni,Sofiane Hanni,1,TRUE
Abelardo Fernández,Andrés Eduardo Fernández Moreno,0.612244898,FALSE
Thomas Sowunmi,Thomas Monconduit,0.64516129,FALSE
Youri Mulder,Nordi Mukiele,0.64,FALSE
Dominique Fred,Dominique Heintz,0.733333333,FALSE
Jenílson Ângelo de Souza,Uílson de Souza Paula Júnior,0.538461538,TRUE
Aaron Long,Aaron  Lennon,0.782608696,FALSE
Neco Williams,Jetro Willems,0.692307692,FALSE
Miloš Milutinović,Miloš Veljkovic,0.625,FALSE
Ishmael Wadi,Ishak Belfodil,0.615384615,FALSE
Hugo Almeida,Hugo Miguel Almeida Costa Lopes,0.558139535,TRUE
Niall Reid-Stephen,Dale Stephens,0.64516129,FALSE
Mario Méndez,Brais Méndez Portela,0.5625,FALSE
Alan Smith,Adam Smith,0.8,FALSE
José Luis Veloso,José Luis García del Pozo,0.682926829,TRUE
Francisco Fonseca,Francisco Femenía Far,0.684210526,FALSE
Mijat Gaćinović,Mijat Gacinovic,0.866666667,FALSE
Peter Van Der Heyden,Per Ciljan Skjelbred,0.55,FALSE
Dionisio Fernandes,Da Conceição Fernando Henrique,0.583333333,FALSE
Scott Brown,Scott Brown,1,TRUE
Mario Frick,Marko Grujic,0.695652174,FALSE
Adama Traoré,Adama Soumaoro,0.692307692,FALSE
Alfonso Rodríguez Salas,Raúl Rodríguez Navas,0.697674419,FALSE
Ádám Szalai,Ádám Szalai,1,TRUE
Banou Diawara,Amadou Diawara,0.814814815,FALSE
Lukas Podolski,Lukasz Skorupski,0.666666667,FALSE
Roman Zozulya,Romain Hamouma,0.666666667,FALSE
Tevin Slater,Kevin Stöger,0.75,FALSE
Karol Linetty,Karol Linetty,1,TRUE
Stefano Fanelli,Stefan Bell,0.769230769,FALSE
Oumar N'Diaye,Alfred John Momar N'Diaye,0.578947368,FALSE
Yusuf Yazıcı,Yusuf Yazici,0.833333333,FALSE
Sebastian Mila,Bastian Oczipka,0.620689655,FALSE
Federico Valverde,Federico Valverde,1,TRUE
Ermen Benítez,Martín Benítez,0.740740741,FALSE
Michael Groom,Michel Vorm,0.75,FALSE
Djamel Menad,Nampalys Mendy,0.615384615,FALSE
José Manuel Velázquez,José Juan Vázquez Gómez,0.681818182,TRUE
Raúl Núñez Velloso,Unai Núñez Gestoso,0.666666667,FALSE
Nemanja Radonjić,Nemanja Radoja,0.866666667,FALSE
Kieran Trippier,Kieran  Gibbs,0.571428571,FALSE
Abderrazak Hamdallah,Abderrazak Hamdallah,1,TRUE
Jonathan dos Santos,Pablo Renan dos Santos,0.731707317,TRUE
Sor Rotana,Seko Fofana,0.666666667,FALSE
Leônidas da Silva,Felipe Dias da Silva dal Belo,0.565217391,TRUE
Carlos Villanueva,Carlos Andrés Villanueva Roland,0.708333333,TRUE
Dino da Costa,José Márcio da Costa,0.666666667,TRUE
Sergio Salgado,Diego Rico Salguero,0.606060606,FALSE
Humberto Moreno,Alberto Moreno Pérez,0.685714286,FALSE
