,Unnamed: 0,scorer,full_name,similarity,fn_tokens,pl_tokens,token_compare
16217,17293,Leonardo Bonucci,Gustavo Leonardo Bou,0.6666666666666666,"['Gustavo', 'Leonardo', 'Bou']","['Leonardo', 'Bonucci']",False
16218,17294,Matt Ritchie,Matt Ritchie,1.0,"['Matt', 'Ritchie']","['Matt', 'Ritchie']",True
16219,17295,Manolo Gabbiadini,Manolo Gabbiadini,1.0,"['Manolo', 'Gabbiadini']","['Manolo', 'Gabbiadini']",True
16220,17296,Miguel González,Mehdi Carcela-González,0.6486486486486487,"['Mehdi', 'Carcela-González']","['Miguel', 'González']",False
16221,17297,Farouk Ibrahim Al Awadi Al Saleh,Karim El Ahmadi Al Aroos,0.5357142857142857,"['Karim', 'El', 'Ahmadi', 'Al', 'Aroos']","['Farouk', 'Ibrahim', 'Al', 'Awadi', 'Al', 'Saleh']",True
16222,17298,James McFadden,James Maddison,0.7857142857142857,"['James', 'Maddison']","['James', 'McFadden']",False
16223,17299,Francisco Palacios,Frank Yusty Fabra Palacios,0.6363636363636364,"['Frank', 'Yusty', 'Fabra', 'Palacios']","['Francisco', 'Palacios']",False
16224,17300,Eduardo Guzmán,Nahuel Ignacio Guzmán,0.5714285714285714,"['Nahuel', 'Ignacio', 'Guzmán']","['Eduardo', 'Guzmán']",False
16225,17301,No Match,Vadis Odjidja-Ofoe,0.4848484848484848,"['Vadis', 'Odjidja-Ofoe']","['No', 'Match']",False
16226,17302,Marcílio Alves da Silva,Marcus Wendel Valle da Silva,0.6666666666666666,"['Marcus', 'Wendel', 'Valle', 'da', 'Silva']","['Marcílio', 'Alves', 'da', 'Silva']",True
16227,17303,Tomas Brolin,Tobias Strobl,0.64,"['Tobias', 'Strobl']","['Tomas', 'Brolin']",False
16228,17304,Clément Lenglet,Clément Grenier,0.7333333333333333,"['Clément', 'Grenier']","['Clément', 'Lenglet']",False
16229,17305,Serhiy Sydorchuk,Serhiy Sydorchuk,1.0,"['Serhiy', 'Sydorchuk']","['Serhiy', 'Sydorchuk']",True
16230,17306,Colin Hendry,Jorrit Hendrix,0.6153846153846154,"['Jorrit', 'Hendrix']","['Colin', 'Hendry']",False
16231,17307,Javier Saviola,Javier Horacio Pinola,0.6857142857142857,"['Javier', 'Horacio', 'Pinola']","['Javier', 'Saviola']",False
16232,17308,Marcelo Balboa,Marvelous Nakamba,0.6451612903225806,"['Marvelous', 'Nakamba']","['Marcelo', 'Balboa']",False
16233,17309,Eric Maxim Choupo-Moting,Jean-Eric Maxim Choupo-Moting,0.9056603773584906,"['Jean-Eric', 'Maxim', 'Choupo-Moting']","['Eric', 'Maxim', 'Choupo-Moting']",True
16234,17310,Eljero Elia,Eljero Elia,1.0,"['Eljero', 'Elia']","['Eljero', 'Elia']",True
16235,17311,Luis de la Fuente,Sergio García de la Fuente,0.6511627906976745,"['Sergio', 'García', 'de', 'la', 'Fuente']","['Luis', 'de', 'la', 'Fuente']",True
16236,17312,Guillaume Gillet,Guillaume Hoarau,0.625,"['Guillaume', 'Hoarau']","['Guillaume', 'Gillet']",False
